4000006C , Roster of Knights  
40000852 , Quelana Pyromancy Tome  
40000853 , Grave Warden Pyromancy Tome  
40000854 , Sage's Scroll  
40000855 , Logan's Scroll  
40000856 , Crystal Scroll  
40000857 , Transposing Kiln  
40000859 , Coiled Sword  
4000085A , Eyes of a Fire Keeper  
4000085B , Sword of Avowal  
4000085C , Golden Scroll  
4000085D , Estus Shard  
4000085E , Hawkwood's Swordgrass  
4000085F , Undead Bone Shard  
40000860 , Deep Braille Divine Tome  
40000861 , Londor Braille Divine Tome  
40000862 , Excrement-covered Ashes  
40000863 , Prisoner Chief's Ashes  
40000864 , Xanthous Ashes  
40000865 , Hollow's Ashes  
40000866 , Patches' Ashes  
40000867 , Dragon Chaser's Ashes  
40000868 , Easterner's Ashes  
400002E8 , Soul of Sister Friede
40000869 , Champions Bones
4000086A , Captain's Ashes
4000086B , Contraption Key
4000013B , Church Guardian Shiv
4000017B , Filianore's Spear Ornament
4000028A , Ritual Spear Fragment
4000028B , Divine Spear Fragment
400002E9 , Soul of Slave Knight Gael
400002EA , Soul of the Demon Prince
400002EB , Soul of Darkeater Midir
4000086C , Small Envoy Banner
4000086D , Old Woman's Ashes
4000086E , Blood of the Dark souls
4000086F , Young Grass Dew
